"id";"title";"produced";"length";"premiere";"watchlink";"imdblink";"cover"
"129";"Meseautó";"1934";"90";"1934.12.14";"https://www.youtube.com/watch?v=8pnh9bP45To";"https://www.imdb.com/title/tt0027958/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_meseaut%25C3%25B3";"Meseauto.jpg"
"130";"Mindenki mást szeret";"1940";"93";"1940.12.12";"https://filmezek.com/online-filmek/mindenki-mast-szeret/";"https://www.imdb.com/title/tt0241727/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_mindenki%2520m%25C3%25A1st%2520szeret";"Mindenki mast szeret.jpg"
"131";"A miniszter barátja";"1939";"89";"1939.09.28";"https://videa.hu/videok/film-animacio/a-miniszter-baratja-1939-teljes.avi-film-animacio-XrY2STbgElQFPAsp";"https://www.imdb.com/title/tt0031655/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_a%2520miniszter%2520";"A miniszter baratja.jpg"
"132";"A nagymama";"1935";"89";"1936.01.09";"https://m.ok.ru/video/4089508268754";"https://www.imdb.com/title/tt0026766/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_a%2520nagymama";"A nagymama.jpg"
"133";"Nászút féláron";"1936";"65";"1936.10.27";"https://www.youtube.com/watch?v=XBB8unsZDt8";"https://www.imdb.com/title/tt0028049/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_n%25C3%25A1sz%25C3%25BAt%2520f%25C3%25A9l%25C3%25A1ron";"Naszut felaron.jpg"
"134";"Negyedíziglen";"1942";"92";"1942.11.02";"https://m.ok.ru/video/1587609209362";"https://www.imdb.com/title/tt0243450/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_negyed%25C3%25ADzig";"Negyediziglen.jpg"
"135";"Nem élhetek muzsikaszó nélkül";"1935";"77";"1936.02.20";"https://m.ok.ru/video/3565919603218";"https://www.imdb.com/title/tt0241757/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_nem%2520%25C3%25A9lhetek%2520muzsikasz%25C3%25B3%2520n%25C3%25A9";"Nem elhetek muzsikaszo nelkul.jpg"
"136";"Négylovas hintó";"1942";"79";"1942.11.16";"https://m.ok.ru/video/3565919603218";"https://www.imdb.com/title/tt4658090/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_n%25C3%25A9gylovas%2520hint%25C3%25B3";"Negylovas hinto.jpg"
"138";"A Noszty-fiú esete Tóth Marival";"1937";"76";"1938.01.20";"https://m.ok.ru/video/3216608594527";"https://www.imdb.com/title/tt0054128/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_a%2520noszty-fi%25C3%25BA%2520";"A Noszty-fiu esete Toth Marival.jpg"
"139";"A nőnek mindig sikerül";"1939";"69";"1940.01.18";"https://www.youtube.com/watch?v=9_T3oBasJNA";"https://www.imdb.com/title/tt0031739/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_a%2520n%25C5%2591nek%2520";"A nonek mindig sikerul.jpg"
"140";"Az okos mama";"1935";"74";"1936.03.05";"https://www.youtube.com/watch?v=WHrHS0V5C5A";"https://www.imdb.com/title/tt0026807/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520okos%2520mama";"Az okos mama.jpg"
"141";"Ópiumkeringő";"1942";"79";"1943.03.26";"https://m.ok.ru/video/2599856769622";"https://www.imdb.com/title/tt0036568/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25B3piumke";"error.jpg"
"142";"Az örök titok";"1938";"81";"1938.02.24";"https://m.ok.ru/video/2599531842134";"https://www.imdb.com/title/tt0242176/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_az%2520%25C3%25B6r%25C3%25B6k%2520titok";"error.jpg"
"143";"5 óra 40";"1939";"77";"1939.09.12";"https://videa.hu/videok/film-animacio/...ot-ora-40-1939-mtvs-tvrip-vhsrip-BehjN9bV2tVlTEp3";"https://www.imdb.com/title/tt0032173/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_5%2520%25C3%25B3ra%252040";"5 ora 40.jpg"
"144";"5-ös számú őrház";"1942";"92";"1942.04.11";"https://port.hu/adatlap/film/tv/5-os-szamu-orhaz-5-os-szamu-orhaz/movie-37415";"https://www.imdb.com/title/tt0169527/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_5-%25C3%25B6s%2520sz%25C3%25A1m%25C3%25BA%2520";"5-os szamu orhaz.jpg"
"145";"Őrségváltás";"1942";"91";"1942.08.18";"https://vk.com/video-152920238_456239053";"https://www.imdb.com/title/tt0035598/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C5%2591rs%25C3%25A9gv%25C3%25A1lt%25C3%25A1s";"Orsegvaltas.jpg"
"146";"Papucshős";"1938";"80";"1938.09.01";"https://videa.hu/videok/film-animacio/1938.-a-papucshos-film-animacio-d3hXmwcU8OCnqMOq";"https://www.imdb.com/title/tt0030552/?ref_=nv_sr_srsg_7_tt_8_nm_0_in_0_q_papucs";"Papucshos.jpg"
"147";"Párbaj semmiért";"1939";"82";"1940.03.07";"https://filmezek.com/online-filmek/parbaj-semmiert/";"https://www.imdb.com/title/tt0906062/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_p%25C3%25A1rbaj%2520semmi%25C3%25A9rt";"Parbaj semmiert.jpg"
"148";"Pergőtűzben!";"1937";"74";"1937.08.12";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/pergotuzben.html";"https://www.imdb.com/title/tt0029392/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_perg%25C5%2591t%25C5%25B1zben";"Pergotuzben.jpg"
"149";"Péntek Rézi";"1938";"67";"1938.09.30";"https://www.youtube.com/watch?v=J2AyxiApXA4";"https://www.imdb.com/title/tt0030641/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_p%25C3%25A9ntek%2520r%25C3%25A9zi";"Pentek Rezi.jpg"
"150";"Pénz beszél";"1940";"84";"1940.03.14";"https://m.ok.ru/video/6570088663636";"https://www.imdb.com/title/tt0891574/?ref_=nv_sr_srsg_8_tt_7_nm_0_in_0_q_p%25C3%25A9nz%2520besz%25C3%25A9l";"Penz beszel.jpg"
"151";"Pillanatnyi pénzzavar";"1938";"70";"1938.03.03";"https://www.youtube.com/watch?v=62MTThbfxeo";"https://www.imdb.com/title/tt0030587/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_pillantnyi%2520p%25C3%25A9nzzavar";"Pillanatnyi penzzavar.jpg"
"152";"Piri mindent tud";"1932";"78";"1932.04.21";"https://m.ok.ru/video/2410330393106";"https://www.imdb.com/title/tt0023340/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_piri%2520mindent%2520tud";"Piri mindent tud.jpg"
"153";"Pista tekintetes úr";"1942";"73";"1943.04.21";"https://m.ok.ru/video/2599858670166";"https://www.imdb.com/title/tt0035194/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_pista%2520tekintet";"Pista tekintetes ur.jpg"
"154";"Pókháló";"1936";"73";"1936.09.26";"https://m.ok.ru/video/2599856638550";"https://www.imdb.com/title/tt0028115/?ref_=nv_sr_srsg_5_tt_6_nm_2_in_0_q_p%25C3%25B3kh%25C3%25A1l%25C3%25B3";"Pokhalo.jpg"
"155";"Ragaszkodom a szerelemhez";"1943";"78";"1943.06.02";"https://m.ok.ru/video/2599857228374";"https://www.imdb.com/title/tt0036288/?ref_=nv_sr_srsg_1_tt_2_nm_0_in_0_q_ragaszkodom%2520a%2520szerelemhez";"Ragaszkodom a szerelemhez.jpg"
"156";"Repülő arany";"1932";"51";"1932.12.04";"https://m.ok.ru/video/2733700024852";"https://www.imdb.com/title/tt0240858/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_rep%25C3%25BCl%25C5%2591%2520arany";"Flying_Gold.jpg"
"157";"Régi keringő";"1941";"88";"1941.12.22";"https://m.ok.ru/video/7329543555681";"https://www.imdb.com/title/tt0034138/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_r%25C3%25A9gi%2520kering%25C5%2591";"Regi keringo.jpg"
"158";"A régi nyár";"1941";"78";"1942.07.09";"https://m.ok.ru/video/1509784029848";"https://www.imdb.com/title/tt0034139/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_a%2520r%25C3%25A9gi%2520ny%25C3%25A1r";"A regi nyar.jpg"
"159";"Rozmaring";"1938";"78";"1938.11.30";"https://m.ok.ru/video/2599859784278";"https://www.imdb.com/title/tt0030702/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_rozmaring";"Rosemary_1938_film_.jpg"
"160";"Rózsafabot";"1940";"73";"1940.11.25";"https://m.ok.ru/video/2599857621590";"https://www.imdb.com/title/tt0033006/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_r%25C3%25B3zsafabot";"Rozsafabot.jpg"
"161";"Sárga kaszinó";"1943";"61";"1944.05.18";"https://www.filmweb.pl/film/S%C3%A1rga+kaszin%C3%B3-1944-338034";"https://www.imdb.com/title/tt0240956/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_s%25C3%25A1rga%2520kaszin%25C3%25B3";"Sarga kaszino.jpg"
"162";"Sárga rózsa";"1940";"75";"1941.03.25";"https://m.ok.ru/video/2341394057825";"https://www.imdb.com/title/tt0033126/?ref_=nv_sr_srsg_5_tt_5_nm_2_in_0_q_s%25C3%25A1rga%2520";"Sarga rozsa.jpg"
"163";"Sári bíró";"1943";"68";"1943.12.21";"https://m.ok.ru/video/1620166707730";"https://www.imdb.com/title/tt10222942/?ref_=nv_sr_srsg_6_tt_5_nm_3_in_0_q_s%25C3%25A1ri%2520b";"Sari biro.jpg"
"164";"Segítség, örököltem!";"1937";"71";"1937.08.02";"https://m.ok.ru/video/80212789858";"https://www.imdb.com/title/tt0029533/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_seg%25C3%25ADts%25C3%25A9g%2520%25C3%25B6r%25C3%25B6k%25C3%25B6ltem";"Segitseg_ orokoltem_.jpg"
"165";"Semmelweis";"1939";"86";"1940.01.12";"https://videa.hu/videok/film-animacio/1-a-s-e-m-dvdip-tvrip-vhsrip-ptR0HOk3IUQfqxfl";"https://www.imdb.com/title/tt0033035/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_semmelweis";"Semmelweis.jpg"
"166";"Sok hűhó Emmiért";"1940";"73";"1940.10.17";"https://www.youtube.com/watch?v=mjPIfyB6aYs";"https://www.imdb.com/title/tt0033073/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_sok%2520h%25C5%25B1h%25C3%25B3%2520h";"Sok huho Emmiert.jpg"
"168";"Süt a nap";"1938";"74";"1939.02.02";"https://www.youtube.com/watch?v=SGfsAPiVNlg";"https://www.imdb.com/title/tt0031992/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_s%25C3%25BCt%2520a%2520nap";"S_t a nap_Nemes L_szl_.jpg"
"169";"Szabotázs";"1942";"82";"1942.06.18";"https://www.youtube.com/watch?v=Nm0xkgHv5Ds";"https://www.imdb.com/title/tt0439841/?ref_=nv_sr_srsg_6_tt_7_nm_1_in_0_q_szabot%25C3%25A1zs";"Szabotazs.jpg"
"170";"A 111-es";"1937";"81";"1937.10.28";"https://m.ok.ru/video/4371802884757";"https://www.imdb.com/title/tt0028545/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_A%2520111-es";"A 111-es.jpg"
"171";"Szent Péter esernyője";"1935";"66";"1935.11.14";"https://m.ok.ru/video/1790058433266";"https://www.imdb.com/title/tt0027072/?ref_=nv_sr_srsg_2_tt_4_nm_0_in_0_q_szent%2520p%25C3%25A9ter%2520eserny%25C5%2591je";"Szent Peter esernyoje.jpg"
"172";"Szenzáció!";"1936";"66";"1936.10.22";"https://m.ok.ru/video/3519747656210";"https://www.imdb.com/title/tt0028336/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_szenz%25C3%25A1ci%25C3%25B3!%25201936";"Szenzacio_.jpg"
"173";"A szerelem nem szégyen";"1940";"80";"1940.12.18";"https://m.ok.ru/video/1720353032722";"https://www.imdb.com/title/tt0033125/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520szerelem%2520nem%2520sz%25C3%25A9gyen";"A szerelem nem szegyen.jpg"
"174";"Szerelemből nősültem";"1937";"69";"1937.12.23";"https://m.ok.ru/video/2599855196758";"https://www.imdb.com/title/tt0029631/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_szerelemb%25C5%2591l%2520n%25C5%2591s";"Szerelembol nosultem.jpg"
