"id";"title";"produced";"length";"premiere";"watchlink";"imdblink";"cover"
"206";"Zenélő malom";"1943";"79";"1944.11.11";"https://m.ok.ru/video/1665064307218";"https://www.imdb.com/title/tt0036557/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_zen%25C3%25A9l%25C5%2591%2520ma";"Zenelo malom.jpg"
"301";"120-as tempó";"1937";"71";"1937.10.07";"https://m.ok.ru/video/3310874856088";"https://www.imdb.com/title/tt0159229/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_120-as";"120-as tempo.jpg"
"302";"3:1 a szerelem javára";"1937";"84";"1937.10.14";"https://m.ok.ru/video/2411441359378";"https://www.imdb.com/title/tt0028542/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_3%253A1%2520a%2520sz";"3-1_a_szerelem_jav_ra_filmplak_t.jpg"
"303";"A Benedek ház";"1943";"81";"1944.02.17";"https://m.ok.ru/video/2081514719762";"https://www.imdb.com/title/tt0155537/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_a%2520benedek";"A Benedek haz.jpg"
"304";"A cigány";"1941";"68";"1941.11.25";"https://videa.hu/videok/film-animacio/a-cigany-teljes-film-animacio-ysNr23nkYc7pPNSN";"https://www.imdb.com/title/tt0241309/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520cig%25C3%25A1ny";"A cigany.jpg"
"305";"A csúnya lány";"1935";"83";"1935.09.27";"https://videa.hu/videok/film-animacio/a-csunya-lany-1935-film-animacio-gkL4rZBu9MHxUvdr";"https://www.imdb.com/title/tt0026250/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_a%2520cs%25C3%25BAnya";"A csunya lany.jpg"
"306";"Fehér vonat";"1943";"84";"1947.01.01";"https://www.filmkatalogus.hu/Feher-vonat--f54977";"https://www.imdb.com/title/tt4659924/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_feh%25C3%25A9r%2520vo";"Feher vonat.jpg"
"308";"A harapós férj";"1937";"80";"1938.03.07";"https://m.ok.ru/video/4406123235924";"https://www.imdb.com/title/tt0028977/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_a%2520harap%25C3%25B3s%2520";"A harapos ferj.jpg"
"309";"A hegyek lánya";"1942";"78";"1943.01.14";"https://m.ok.ru/video/1753856543268";"https://www.imdb.com/title/tt0034838/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520hegyek%2520l";"A hegyek lanya.jpg"
"310";"A kegyelmes úr rokona";"1941";"76";"1941.03.04";"https://m.ok.ru/video/3582263757409";"https://www.imdb.com/title/tt0885501/?ref_=nv_sr_srsg_2_tt_7_nm_0_in_0_q_a%2520kegyelmes";"A kegyelmes ur rokona.jpg"
"311";"A kék bálvány";"1931";"73";"1931.09.25";"https://m.ok.ru/video/2599859259990?st._aid=VideoState_open_album";"https://www.imdb.com/title/tt0024209/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_a%2520k%25C3%25A9k%2520b";"A kek balvany.jpg"
"312";"A királyné huszárja";"1935";"78";"1935.12.07";"https://m.ok.ru/video/3925205650017";"https://www.imdb.com/title/tt0026576/?ref_=nv_sr_srsg_7_tt_7_nm_0_in_0_q_a%2520kir%25C3%25A1lyn%25C3%25A9%2520";"A kiralyne huszarja.jpg"
"313";"A látszat csal";"1943";"";"";"https://www.hangosfilm.hu/filmenciklopedia/golda-jozsef";"https://www.imdb.com/title/tt1221904/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_a%2520l%25C3%25A1tszat%2520c";"A latszat csal.jpg"
"314";"Menekülő ember";"1943";"73";"1943.10.12";"https://m.ok.ru/video/2599857031766";"https://www.imdb.com/title/tt0036153/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_menek%25C3%25BCl%25C5%2591%2520em";"Menekulo ember.jpg"
"315";"Néma kolostor";"1941";"95";"1941.02.22";"https://m.ok.ru/video/3565920979474";"https://www.imdb.com/title/tt0239704/?ref_=nv_sr_srsg_0_tt_4_nm_3_in_0_q_n%25C3%25A9ma%2520kolos";"Nema kolostor.jpg"
"316";"Pepita kabát";"1940";"69";"1940.11.21";"https://videa.hu/videok/film-animacio/1.pepita-kabat-1940-tvrip-dvdrip-vhsrip-WjDkgtGKbpOCLbXH";"https://www.imdb.com/title/tt0138699/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_pepita%2520ka";"Pepita kabat.jpg"
"317";"A piros bugyelláris";"1938";"98";"1938.08.21";"https://m.ok.ru/video/2542737951250";"https://www.imdb.com/title/tt0030590/?ref_=nv_sr_srsg_2_tt_3_nm_0_in_0_q_a%2520piros%2520bugy";"A piros bugyellaris.jpg"
"318";"A pusztai királykisasszony";"1938";"80";"1939.01.19";"https://www.youtube.com/watch?v=AdbV3Chb4h4";"https://www.imdb.com/title/tt0164834/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_a%2520pusztai%2520kir%25C3%25A1l";"A pusztai kiralykisasszony.jpg"
"319";"A szép Pongrácné krinolinja";"1931";"";"";"https://www.szaktars.hu/attraktor/view/mudrak-jozsef-deak-tamas-magyar-hangosfilm-lexikon-1931-1944-2006/?pg=272&layout=s";"https://www.imdb.com/title/tt4901496/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520sz%25C3%25A9p%2520p";"error.jpg"
"320";"A szív szava";"1937";"";"1937.07.29";"https://videa.hu/videok/film-animacio/a-sziv-szava-1989-1-film-animacio-8b4YM39HZThlDVXb";"https://www.imdb.com/title/tt0029632/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_a%2520sz%25C3%25ADv%2520szava";"A sziv szava.jpg"
"321";"A varieté csillagai";"1938";"77";"1939.03.30";"https://filmzona.cc/mozi/a-variete-csillagai/";"https://www.imdb.com/title/tt0241026/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_a%2520variet%25C3%25A9%2520";"A variete csillagai.jpg"
"322";"Ágrólszakadt úrilány";"1943";"87";"1943.12.27";"https://m.ok.ru/video/2347143072340";"https://www.imdb.com/title/tt0036562/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_%25C3%25A1gr%25C3%25B3lszakadt%2520%25C3%25BA";"Agrolszakadt urilany.jpg"
"323";"Álomsárkány";"1939";"84";"1939.05.11";"https://www.mafab.hu/movies/alomsarkany-260078.html";"https://www.imdb.com/title/tt1058037/?ref_=nv_sr_srsg_7_tt_4_nm_4_in_0_q_%25C3%25A1loms%25C3%25A1r";"_loms_rk_ny_B_k_s_.jpg"
"324";"Anyámasszony katonája";"1943";"90";"1943.08.25";"https://videa.hu/videok/film-animacio/anyamasszony-katonaja-1944-film-animacio-OyxeZIW3qasoSiSo";"https://www.imdb.com/title/tt0926186/?ref_=nv_sr_srsg_1_tt_3_nm_0_in_0_q_any%25C3%25A1masszony%2520ka";"Anyamasszony katonaja.jpg"
"325";"Aranypáva";"1943";"85";"1943.11.02";"https://videa.hu/videok/film-animacio/aranypava-1943-vhs-teljes-film-JvDYJ71ksUnx6AB7";"https://www.imdb.com/title/tt0035644/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_aranyp%25C3%25A1va";"Aranypava.jpg"
"326";"Asszonyszelídítő";"1931";"";"";"https://port.hu/adatlap/film/tv/asszonyszelidito-asszonyszelidito/movie-37502";"https://www.imdb.com/title/tt0241202/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_asszonysze";"error.jpg"
"327";"Az első";"1944";"80";"1944.10.01";"https://m.ok.ru/video/8889883101793";"https://www.imdb.com/title/tt0036788/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520els%25C5%2591%25201944";"Az elso.jpg"
"328";"Az ember néha téved";"1937";"74";"1938.01.21";"https://videa.hu/videok/film-animacio/az-ember-neha-teved-1938-film-magyar-V8YTlXZs7y8n2ewI";"https://www.imdb.com/title/tt0028828/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_az%2520ember%2520n%25C3%25A9ha%2520";"Az ember neha teved.jpg"
"329";"Intéző úr";"1941";"";"";"https://www.hangosfilm.hu/filmenciklopedia/mariassy-felix";"https://www.imdb.com/title/tt1221891/?ref_=nv_sr_srsg_0_tt_3_nm_3_in_0_q_int%25C3%25A9z%25C5%2591%2520%25C3%25BAr";"intezo.jpg"
"330";"Az orvos titka";"1930";"77";"1930.10.19";"https://adt.arcanum.com/hu/view/EstiKurir_1930_11/?query=%22vir%C3%A1g+%C3%A1rp%C3%A1d%22+operat%C5%91r&pg=177&layout=s";"https://www.imdb.com/title/tt0211761/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520orvos%2520titka";"error.jpg"
"331";"Az ördög nem alszik";"1941";"85";"1941.10.16";"https://videa.hu/videok/film-animacio/..az-ordog-.nem-alszik-.film-tvrip-vhsrip-gU8Uz9vLIJJxE1iO";"https://www.imdb.com/title/tt0034419/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_az%2520%25C3%25B6rd%25C3%25B6g%2520nem%2520alszi";"Az ordog nem alszik.jpg"
"332";"Az új földesúr";"1935";"99";"1935.12.21";"https://m.ok.ru/video/7093273102932";"https://www.imdb.com/title/tt0242180/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_az%2520%25C3%25BAj%2520f%25C3%25B6ldes";"Az uj foldesur.jpg"
"334";"Barátságos arcot kérek!";"1935";"71";"1936.02.04";"https://videa.hu/videok/film-animacio/baratsagos-arcot-kerek-1935-KnQQoHCEt1Mwt5DQ";"https://www.imdb.com/title/tt0026100/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_bar%25C3%25A1ts%25C3%25A1gos%2520arcot";"Baratsagos arcot kerek_.jpg"
"335";"Beszállásolás";"1938";"82";"1938.11.02";"https://www.filmweb.pl/film/Besz%C3%A1ll%C3%A1sol%C3%A1s-1938-173152";"https://www.imdb.com/title/tt0029909/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_besz%25C3%25A1ll%25C3%25A1sol%25C3%25A1s";"Beszallasolas.jpg"
"337";"Boldog idők";"1943";"91";"1943.12.31";"https://videa.hu/videok/film-animacio/boldog-idok-1943-teljes-film.avi-film-animacio-tDqQgJ5HVRm6eJyt";"https://www.imdb.com/title/tt0035688/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_boldog%2520id";"Boldog idok.jpg"
"338";"Bors István";"1938";"99";"1939.02.23";"https://metropolis.org.hu/ideologiai-uzenet-az-1939-1944-kozotti-magyar-filmekben";"https://www.imdb.com/title/tt0031114/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_bors%2520ist";"Bors Istvan.jpg"
"339";"Budai cukrászda";"1935";"84";"1935.11.30";"https://videa.hu/videok/film-animacio/1935.-budai-cukraszda-film-animacio-D9mYLs8wrcIfJHJC";"https://www.imdb.com/title/tt0027405/?ref_=nv_sr_srsg_0_tt_1_nm_1_in_0_q_budai%2520cukr%25C3%25A1sz";"Budai cukraszda.jpg"
"340";"Búzavirág";"1934";"81";"";"https://port.hu/adatlap/film/tv/buzavirag-buzavirag/movie-236994";"https://www.imdb.com/title/tt0024940/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_b%25C3%25BAzavir";"Buzavirag.jpg"
"341";"Cifra nyomorúság";"1938";"75";"1938.09.30";"https://m.ok.ru/video/3726864222833";"https://www.imdb.com/title/tt0171972/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_cifra%2520nyomor%25C3%25BAs%25C3%25A1g";"Cifra nyomorusag.jpg"
"342";"Csak egy kislány van a világon";"1929";"65";"1930.05.12";"https://ok.ru/video/9042992433762";"https://www.imdb.com/title/tt0241331/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_csak%2520egy%2520kisl%25C3%25A1";"Csak egy kislany van a vilagon.jpg"
"343";"Családi pótlék";"1937";"62";"1937.12.09";"https://m.ok.ru/video/2413889522194";"https://www.imdb.com/title/tt0028750/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_csal%25C3%25A1di%2520p";"Csaladi potlek.jpg"
"344";"Családunk szégyene";"1942";"83";"1943.02.11";"https://videa.hu/videok/film-animacio/1-csalad-szegyene-1942-tvrip.-tvrip-vhsrip-ioMfDffY27isTwsH";"https://www.imdb.com/title/tt0034623/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_csal%25C3%25A1dunk%2520sz%25C3%25A9gyene";"Csaladunk szegyene.jpg"
"345";"Édes a bosszú";"1937";"73";"1937.09.16";"https://m.ok.ru/video/2920426572306";"https://www.imdb.com/title/tt0029824/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9des%2520bossz%25C3%25BA";"edesbosszu.jpg"
"346";"Édes mostoha";"1935";"82";"1935.10.15";"https://www.youtube.com/watch?v=JdGnUs-CFas";"https://www.imdb.com/title/tt0027243/?ref_=nv_sr_srsg_2_tt_2_nm_6_in_0_q_%25C3%25A9des%2520mo";"covers_100997.jpg"
"347";"Egér a palotában";"1942";"67";"1943.06.30";"https://m.ok.ru/video/2599745227350";"https://www.imdb.com/title/tt0240476/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_eg%25C3%25A9r%2520a%2520palot%25C3%25A1ban";"Eger a palotaban.jpg"
"348";"Egy bolond százat csinál";"1942";"80";"1943.05.01";"https://m.ok.ru/video/2377417624082";"https://www.imdb.com/title/tt0034695/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_egy%2520bolond%2520sz%25C3%25A1";"Egy bolond szazat csinal.jpg"
"349";"Egy fiúnak a fele";"1944";"85";"";"https://m.ok.ru/video/1607275383314";"https://www.imdb.com/title/tt0408782/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_egy%2520fi%25C3%25BAnak%2520a%2520fe";"Egy fiunak a fele.jpg"
"350";"Egy gép nem tért vissza";"1943";"77";"1944.07.01";"https://videa.hu/videok/film-animacio/egy-gep-nem-tert-vissza-drama-q1jGhlew0oSyUbV1";"https://www.imdb.com/title/tt0243237/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_egy%2520g%25C3%25A9p%2520nem%2520t%25C3%25A9rt";"Egy gep nem tert vissza.jpg"
"351";"Egy nap a világ";"1943";"81";"";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/egy-nap-a-vilag.html";"https://www.imdb.com/title/tt0035837/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_egy%2520nap%2520a%2520vil";"Egy nap a vilag.jpg"
"352";"Egy pofon, egy csók";"1944";"67";"";"https://port.hu/adatlap/film/tv/egy-pofon-egy-csok-egy-pofon-egy-csok/movie-39961";"https://www.imdb.com/title/tt0127532/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_egy%2520pofon%2520egy";"Egy pofon_ egy csok.jpg"
"353";"Egy szív megáll";"1942";"79";"1942.12.22";"https://m.ok.ru/video/7320838539885";"https://www.imdb.com/title/tt0034696/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_egy%2520sz%25C3%25ADv%2520";"images.jpg"
"354";"Egy tál lencse";"1941";"82";"1941.04.10";"https://www.youtube.com/watch?v=o7L_i6lH3dE";"https://www.imdb.com/title/tt0033570/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_egy%2520t%25C3%25A1l%2520le";"Egy tal lencse.jpg"
"355";"Éjféli keringő";"1944";"";"";"https://m.ok.ru/video/289255000739";"https://www.imdb.com/title/tt4664410/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9jf%25C3%25A9li%2520ke";"Ejfeli keringo.jpg"
"356";"Éjjeli zene";"1943";"83";"1943.11.09";"https://videa.hu/videok/film-animacio/...ejjeli-zene-1943-duna-tv-tvrip-vhsrip-Npu83kjiBgQmrer4";"https://www.imdb.com/title/tt0036565/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9jjeli%2520ze";"Ejjeli zene.jpg"
"357";"Elcserélt ember";"1938";"70";"1938.03.25";"https://m.ok.ru/video/2599745292886";"https://www.imdb.com/title/tt0123054/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_elcser%25C3%25A9lt%2520ember";"Elcserelt ember.jpg"
"358";"Elnökkisasszony";"1935";"85";"1935.11.25";"https://m.ok.ru/video/2347396434516";"https://www.imdb.com/title/tt0026311/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_eln%25C3%25B6kkisasszony";"Elnokkisasszony.jpg"
"359";"Ember a híd alatt";"1936";"73";"1936.04.02";"https://videa.hu/videok/film-animacio/ember-a-hid-alatt.-1936.-73-perc.-magyar-filmdrama-ltQYXuFfYa6FeTJL";"https://www.imdb.com/title/tt0027570/?ref_=nv_sr_srsg_1_tt_4_nm_0_in_0_q_ember%2520a%2520h%25C3%25ADd%2520alatt";"Ember a hid alatt.jpg"
"360";"Emmy";"1934";"69";"1934.12.21";"https://videa.hu/videok/film-animacio/1934.-emmy-film-animacio-IZAExnfSey651dpl";"https://www.imdb.com/title/tt0025082/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_emmy%25201934";"Emmy.jpg"
"361";"Enyém vagy";"1942";"93";"1942.11.11";"https://m.ok.ru/video/1587605670418";"https://www.imdb.com/title/tt0034705/?ref_=nv_sr_srsg_1_tt_7_nm_0_in_0_q_eny%25C3%25A9m%2520vagy";"Enyem vagy.jpg"
"362";"Érik a búzakalász";"1938";"87";"1939.04.20";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/erik-a-buzakalasz.html";"https://www.imdb.com/title/tt0242168/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_erik%2520a%2520b%25C3%25BAzakal%25C3%25A1sz";"error.jpg"
"363";"Estélyi ruha kötelező";"1942";"67";"1942.08.14";"https://m.ok.ru/video/2599853754966";"https://www.imdb.com/title/tt1164578/?ref_=nv_sr_srsg_2_tt_6_nm_2_in_0_q_est%25C3%25A9lyi%2520r";"Estelyi ruha kotelezo.jpg"
"364";"Évforduló";"1936";"90";"1936.12.25";"https://www.filmweb.pl/film/%C3%89vfordul%C3%B3-1936-173143/vod";"https://www.imdb.com/title/tt0028537/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_%25C3%25A9vfordu";"Evfordulo.jpg"
"365";"A falu rossza";"1937";"96";"1938.01.12";"https://m.ok.ru/video/3547652491873";"https://www.imdb.com/title/tt0028848/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_a%2520falu%2520rossza";"A falu rossza.jp.jpg"
"366";"Fehérvári huszárok";"1938";"65";"1939.02.03";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/fehervari-huszarok.html";"https://www.imdb.com/title/tt0030124/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_a%2520feh%25C3%25A9rv%25C3%25A1ri%2520";"huszarok.jpg"
"367";"Fekete hajnal";"1942";"81";"1943.09.01";"https://videa.hu/videok/film-animacio/fekete-hajnal-1942-teljes-film.avi-film-animacio-Jrcm2Z2Ht85V3NVr";"https://www.imdb.com/title/tt0034727/?ref_=nv_sr_srsg_1_tt_2_nm_0_in_0_q_fekete%2520hajnal%25201942";"Fekete hajnal.jpg"
"368";"Férjet keresek";"1939";"59";"1940.02.05";"https://m.ok.ru/video/2347400890964";"https://www.imdb.com/title/tt0032502/?ref_=nv_sr_srsg_0_tt_6_nm_0_in_0_q_f%25C3%25A9rjet%2520keresek";"Ferjet keresek.jpg"
"369";"Filléres gyors";"1932";"";"1932.12.01";"https://filmhiradokonline.hu/watch.php?id=248";"https://www.imdb.com/title/tt6046008/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_fill%25C3%25A9res%2520gyors";"error.jpg"
"370";"Fiú vagy lány ?";"1944";"91";"";"https://m.ok.ru/video/1552637102744";"https://www.imdb.com/title/tt0143250/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_fi%25C3%25BA%2520vagy%2520l%25C3%25A1ny";"Boy_or_Girl_1944_film_.jpg"
"371";"Forog az idegen";"1936";"";"1936.07.03";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/forog-az-idegen.html";"https://www.imdb.com/title/tt0027637/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_forog%2520az%2520idegen";"error.jpg"
"372";"Földindulás";"1939";"92";"1940.01.28";"https://www.google.com/search?q=F%C3%B6ldindul%C3%A1s+1939+teljes+film&rlz=1C1GCEA_enHU937HU937&oq=F%C3%B6ldindul%C3%A1s+1939+teljes+film&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIHCAMQIRigATIHCAQQIRigAdIBCDQ2MjNqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8#fpstate=ive&vld=cid:767d0ae9,vid:Oi8dnxLJx7s,st:0";"https://www.imdb.com/title/tt0031355/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_f%25C3%25B6ldindul%25C3%25A1s";"Foldindulas.jpg"
"373";"Futóhomok";"1943";"87";"";"https://m.ok.ru/video/3539630295570";"https://www.imdb.com/title/tt0241463/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_fut%25C3%25B3homok";"Futohomok.jpg"
"374";"Futótűz";"1943";"77";"1944.04.30";"https://videa.hu/videok/film-animacio/futotuz-1944-szilassy-laszlo.avi-film-animacio-QtXwGNhZkB0BCmzO";"https://www.imdb.com/title/tt0881254/?ref_=nv_sr_srsg_6_tt_8_nm_0_in_0_q_fut%25C3%25B3t%25C5%25B1z";"error.jpg"
"378";"Garszonlakás kiadó";"1939";"68";"1940.01.18";"https://videa.hu/videok/film-animacio/garszonlakas-kiado-1939-teljes.avi-film-animacio-sR23AWL3ITAgrbJL";"https://www.imdb.com/title/tt0123858/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_garszonla";"Garszonlakas kiado.jpg"
"379";"Gazdátlan asszony";"1944";"75";"";"https://videa.hu/videok/film-animacio/gazdatlan-asszony-magyar-vigjatek-76-film-animacio-g2ZqKnV4tBB0zEy4";"https://www.imdb.com/title/tt0036856/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_gazd%25C3%25A1tlan%2520";"Gazdatlan asszony.jpg"
"380";"Gyanú";"1944";"69";"1944.10.01";"https://www.mafab.hu/movies/gyanu-263380.html";"https://www.imdb.com/title/tt1292020/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_gyan%25C3%25BA";"Gyanu.jpg"
"381";"Halálos csók";"1942";"90";"1942.10.15";"https://www.google.com/search?sca_esv=2bd4f3c242eb973e&rlz=1C1GCEA_enHU937HU937&udm=7&q=Hal%C3%A1los+cs%C3%B3k+teljes+film&sa=X&ved=2ahUKEwiFktiH_J6SAxUAzQIHHTdOB2AQ8ccDKAJ6BAgXEAQ&biw=1920&bih=911&dpr=1&aic=0#fpstate=ive&vld=cid:8d9a6410,vid:tJt7fRiEkT0,st:0";"https://www.imdb.com/title/tt0034827/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_hal%25C3%25A1los%2520cs%25C3%25B3k";"Deadly_Kiss.jpg"
"382";"Haláltánc";"1941";"83";"1942.02.24";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/halaltanc.html";"https://www.imdb.com/title/tt0240564/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_hal%25C3%25A1lt%25C3%25A1nc";"Halaltanc.jpg"
"383";"Halló, Budapest";"1935";"70";"1935.10.15";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/hallo-budapest.html";"https://www.imdb.com/title/tt5889938/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_hall%25C3%25B3%2520budapest";"Hallo_ Budapest.jpg"
"384";"Három csengő";"1941";"78";"1941.08.14";"https://m.ok.ru/video/2599856376406";"https://www.imdb.com/title/tt0033734/?ref_=nv_sr_srsg_5_tt_8_nm_0_in_0_q_h%25C3%25A1rom%2520cs";"Harom csengo.jpg"
"385";"A három galamb";"1944";"77";"";"https://port.hu/adatlap/film/tv/a-harom-galamb-a-harom-galamb/movie-1013";"https://www.imdb.com/title/tt0127593/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_h%25C3%25A1rom%2520ga";"A harom galamb.jpg"
"386";"Három sárkány";"1936";"69";"1936.10.29";"https://m.ok.ru/video/1561555307026";"https://www.imdb.com/title/tt0027771/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_h%25C3%25A1rom%2520s%25C3%25A1rk%25C3%25A1ny";"Harom sarkany.jpg"
"387";"Háry János";"1941";"81";"1941.09.25";"https://ok.ru/video/4496883124833";"https://www.imdb.com/title/tt0033735/?ref_=nv_sr_srsg_2_tt_5_nm_0_in_0_q_h%25C3%25A1ry%2520j%25C3%25A1nos%2520194";"Hary Janos.jpg"
"388";"Havasi napsütés";"1941";"92";"1941.05.21";"https://videa.hu/videok/film-animacio/havasi_napsutes_1941.avi-film-animacio-SUKSo6r3f0tioLNc";"https://www.imdb.com/title/tt0033695/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_havasi%2520naps%25C3%25BCt%25C3%25A9s";"Havasi napsutes.jpg"
"389";"Házassággal kezdődik";"1943";"74";"1943.03.21";"https://m.ok.ru/video/2599855721046";"https://www.imdb.com/title/tt0482050/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_h%25C3%25A1zass%25C3%25A1gga";"Hazassaggal kezdodik.jpg"
"390";"Helyet az öregeknek";"1934";"69";"1934.11.29";"https://m.ok.ru/video/2599855983190";"https://www.imdb.com/title/tt0145817/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_helyet%2520a";"Helyet az oregeknek.jpg"
"391";"Heten, mint a gonoszok";"1942";"86";"1943.05.13";"https://videa.hu/videok/film-animacio/heten-mint-a-gonoszok-1qB1XrRddSjfFIL2";"https://www.imdb.com/title/tt0156605/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_heten%2520mint%2520a%2520gonoszak";"Heten_ mint a gonoszok.jpg"
"392";"Hol alszunk vasárnap?";"1937";"60";"";"https://indavideo.hu/video/Hol_alszunk_vasarnap";"https://www.imdb.com/title/tt0963986/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_hol%2520alszunk";"Hol alszunk vasarnap.jpg"
"394";"Hölgyek előnyben";"1939";"92";"1939.11.04";"https://nfi.hu/filmarchivum/kutatasoktatas/hungarika-kutatas-1/120-most-wanted/hangosfilm/holgyek-elonyben.html";"https://www.imdb.com/title/tt0240600/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_h%25C3%25B6lgyek%2520el%25C5%2591nyben";"Holgyek elonyben.jpg"
"395";"Hyppolit, a lakáj";"1931";"72";"1931.11.27";"https://m.ok.ru/video/5556006292065";"https://www.imdb.com/title/tt0021985/?ref_=nv_sr_srsg_0_tt_3_nm_5_in_0_q_hyppolit";"Hyppolit_ a lakaj.jpg"
"396";"Idegen utakon";"1944";"88";"1944.06.01";"https://www.youtube.com/watch?v=9LM0IyNg394";"https://www.imdb.com/title/tt0240605/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_idegen%2520utakon";"Idegen utakon.jpg"
